,Country,Birth Rate,Cancer Rate,Dengue_Cases,EPI,GDP(US$mil),Health Expenditure,Heart Disease Rate,Population,Area(km²),Pop_density,Stroke Rate,Life Expectancy
0,japan,8.3,113.71,,74.69,4971929,4060,40.59,128056000.0,377972.0,338.8,33.6,83.74
1,italy,9.1,122.39,,76.96,2072201,3215,64.95,60340328.0,301338.0,200.2,36.02,83.31
2,switzerland,10.2,107.99,,87.42,703750,8019,61.81,7785806.0,41285.0,188.6,19.5,82.84
3,singapore,9.5,105.14,5103.0,64.23,361109,1503,62.1,5076700.0,721.0,7041.2,23.27,82.66
4,israel,21.4,115.44,,75.01,369843,2218,46.66,7623600.0,22072.0,345.4,22.79,82.64
5,iceland,14.1,109.47,,78.57,25882,3671,80.3,,,,26.13,82.3
6,spain,10.2,117.92,,78.39,1425865,2778,49.62,45989016.0,505990.0,90.9,25.54,82.28
7,australia,13.3,111.44,13.0,74.12,1418275,4953,54.11,22299800.0,7692024.0,2.9,24.06,83.42
8,hong kong,,,,,363031,,,7024200.0,2755.0,2549.6,,82.07
9,sweden,11.8,112.77,,80.51,551135,4437,75.3,9340682.0,450295.0,20.7,27.52,81.93
10,france (metropol.),,,,,,,,,,,,81.85
11,canada,11.2,118.16,,72.18,1711387,4988,55.36,34108752.0,9984670.0,3.4,18.22,81.78
12,new zealand,14.3,120.03,,75.96,203404,3240,72.29,4367800.0,268021.0,16.3,31.78,81.56
13,south korea,9.4,106.46,,62.3,,,30.76,49410366.0,100210.0,493.1,34.98,81.43
14,luxembourg,10.9,111.81,,79.12,68770,7452,60.35,,,,25.72,81.34
15,norway,12.2,124.11,,77.49,434937,7860,62.16,4858199.0,385203.0,12.6,28.44,81.32
16,netherlands,10.8,139.39,,75.46,912899,5249,52.1,16574989.0,41543.0,399.0,27.46,81.31
17,chile,14.5,110.46,,57.49,298172,871,49.05,17094270.0,756096.0,22.6,39.3,81.21
18,martinique ( france),,,,,,,,,,,,81.18
19,austria,9.3,121.1,,78.97,457637,4725,94.43,8375290.0,83879.0,99.8,25.12,81.09
20,germany,8.1,125.9,,78.37,4000386,4697,83.78,81802257.0,357168.0,229.0,25.61,80.66
21,greece,9.2,121.87,,73.6,219097,2574,112.4,11305118.0,131957.0,85.7,65.08,80.6
22,ireland,16.3,126.41,,78.77,372695,5128,71.73,4467854.0,70273.0,63.6,25.97,80.57
23,guadeloupe ( france),,,,,,,,,,,,80.56
24,portugal,9.2,128.07,,71.91,238510,2213,47.23,10637713.0,92212.0,115.4,47.51,80.55
25,belgium,11.9,131.86,,77.38,533153,4401,61.24,10839905.0,30528.0,355.1,28.25,80.53
26,finland,11.1,105.06,,78.64,275321,4098,86.1,5351427.0,338424.0,15.8,33.83,80.53
27,channel islands ( uk),,,,,,,,,,,,80.45
28,united kingdom,12.9,134.39,,79.89,2828644,3307,57.34,62026962.0,242495.0,255.8,27.45,80.45
29,malta,10.2,101.23,,80.9,14505,1733,103.64,,,,31.26,80.3
30,macau,,,,,54545,,,,,,,80.3
31,slovenia,10.7,150.61,,67.57,54242,2008,85.67,2046976.0,20273.0,101.0,41.68,80.08
32,u.s. virgin islands ( us),,,,,,,,,,,,80.06
33,denmark,10.6,145.33,,81.6,350874,6036,44.76,5534738.0,42931.0,128.9,26.79,79.99
34,cyprus,11.3,112.26,,72.6,24492,1959,89.18,,,,31.85,79.9
35,réunion ( france),,,,,,,,,,,,79.54
36,mayotte ( france),,,,,,,,,,,,79.34
37,taiwan,8.5,,1211.0,72.84,589391,,,23162120.0,36197.0,639.9,,79.26
38,puerto rico ( us),,,,,,,,,,,,79.22
39,costa rica,15.9,103.46,21000.0,67.85,59006,664,72.38,4563539.0,51100.0,89.3,29.79,79.16
40,cuba,11.8,132.24,,63.42,,,100.35,11241161.0,109884.0,102.3,46.99,79.16
41,french guiana ( france),,,,,,,,,,,,78.98
42,united states,12.7,114.15,198.0,,20494050,,86.89,309349689.0,9833520.0,31.5,23.69,78.88
43,lebanon,24.3,98.76,,61.08,56409,659,214.24,3785655.0,10452.0,362.2,56.01,78.86
44,guam ( us),,,,,,,,,,,,78.72
45,brunei,15.5,110.19,,,14082,,80.26,,,,46.93,78.44
46,czech republic,10.4,134.31,,67.68,242052,1374,152.37,10506813.0,78866.0,133.2,43.82,78.35
47,qatar,11.9,76.41,,67.8,192450,1258,101.08,1699435.0,11581.0,146.7,30.96,77.89
48,curaçao ( netherlands),,,,,,,,,,,,77.77
49,albania,11.5,126.75,,65.46,15202,204,126.59,3195000.0,28748.0,111.1,105.31,77.49
50,panama,19.7,92.29,,62.71,65206,527,72.53,3504483.0,75417.0,46.5,43.56,77.32
51,poland,10.2,144.43,,64.11,586015,809,148.09,38167329.0,312679.0,122.1,63.21,77.14
52,croatia,9.4,163.62,,65.45,60688,1125,149.56,4425747.0,56594.0,78.2,76.19,77.05
53,uruguay,14.1,158.35,,64.65,60180,1002,70.98,3356584.0,176215.0,19.0,45.51,76.96
54,united arab emirates,9.6,,,58.9,424635,1359,,8264070.0,83600.0,98.9,,76.67
55,estonia,11.0,140.59,,64.31,30312,928,180.43,1340127.0,45227.0,29.6,35.03,76.52
56,mexico,17.5,71.34,12240.0,59.69,1223359,539,90.16,112336538.0,1972550.0,56.9,32.38,76.48
57,bahrain,15.0,60.73,,55.15,38291,681,136.69,1234571.0,765.0,1613.8,38.54,76.38
58,maldives,22.4,72.8,,52.14,5302,594,111.46,,,,46.92,76.36
59,oman,31.0,54.21,,51.32,82243,529,128.07,2773479.0,309500.0,9.0,45.41,76.33
60,bosnia and herzegovina,8.3,,,41.84,19881,417,,3844046.0,51129.0,75.2,,76.26
61,new caledonia ( france),,,,,,,,,,,,76.19
62,french polynesia ( france),,,,,,,,,,,,76.12
63,slovakia,11.3,162.57,,70.6,106585,1295,155.65,5424925.0,49035.0,110.6,53.41,76.04
64,montenegro,11.6,150.84,,61.33,5402,388,147.91,,,,164.39,76.02
65,argentina,18.7,134.15,,59.3,518092,699,106.36,40518951.0,2780400.0,14.6,44.13,76.01
66,antigua and barbuda,13.8,,,59.18,1626,673,,,,,,75.82
67,vietnam,16.6,113.05,80000.0,,241272,,,86932500.0,331230.0,262.5,,75.57
68,ecuador,15.1,98.08,,57.42,107511,350,60.55,14483499.0,283561.0,51.1,36.27,75.54
69,jamaica,15.2,116.22,,58.58,15422,252,64.41,2701200.0,10991.0,245.8,77.34,75.44
70,china,11.9,139.44,,50.74,13407398,199,98.33,1339724852.0,9596961.0,139.6,128.18,75.43
71,aruba ( netherlands),,,,,,,,,,,,75.39
72,barbados,12.2,148.43,,55.76,5145,1103,75.26,,,,69.25,75.37
73,republic of macedonia,,,,,,,,,,,,75.16
74,bahamas,13.8,104.65,,54.99,,1632,86.53,,,,46.25,75.15
75,iran,18.2,98.35,,58.16,452275,,170.87,74733230.0,1648195.0,45.3,83.32,75.06
76,hungary,8.8,179.91,,65.01,155703,983,181.46,10014324.0,93030.0,107.6,58.72,74.98
77,turkey,16.7,137.04,,52.96,766428,539,108.59,73722988.0,783356.0,94.1,58.99,74.84
78,saint lucia,12.8,133.02,,56.18,,477,73.29,,,,80.08,74.81
79,serbia,9.0,155.24,,57.49,50651,545,118.68,7291436.0,77474.0,94.1,80.28,74.65
80,sri lanka,17.4,85.52,26824.0,60.61,88223,83,126.95,20653000.0,65610.0,314.8,73.82,74.64
81,georgia,12.9,120.76,,55.69,16324,263,229.05,4436391.0,69700.0,63.6,143.85,74.64
82,tunisia,18.6,71.25,,62.35,39911,244,107.16,10547100.0,163610.0,64.5,98.12,74.6
83,armenia,13.3,196.12,,62.07,12411,169,213.2,3249482.0,29743.0,109.3,80.79,74.56
84,malaysia,17.5,95.89,45037.0,59.22,354348,302,137.02,28334135.0,330803.0,85.7,71.5,74.5
