Country,Birth Rate,Cancer Rate,Dengue Cases,EPI,GDP,Health Expenditure,Heart Disease Rate,Population,Area,Pop Density,Stroke Rate,Life Expectancy
afghanistan,45.1,118.5,,37.74,19585,46,263.34,24485600,652864,37.5,154.41,59.82
albania,11.5,126.75,,65.46,15202,204,126.59,3195000,28748,111.1,105.31,77.49
algeria,24.8,74.01,,57.18,180441,228,110.05,35978000,2381741,15.1,74.66,74.42
american samoa,23.5,,,,,,,,,,,
andorra,10.2,,,,,4596,,,,,,
angola,40.9,82.46,,37.44,107316,97,128.73,18992708,1246700,15.2,142.27,51.68
anguilla (uk),11.1,,,,,,,,,,,
antigua and barbuda,13.8,119.09,,59.18,1626,673,87.16,,,,47.9,75.82
arab emirates,,46.07,,,,,147.92,,,,78,
argentina,18.7,134.15,,59.3,518092,699,106.36,40518951,2780400,14.6,44.13,76.01
armenia,13.3,196.12,,62.07,12411,169,213.2,3249482,29743,109.3,80.79,74.56
aruba (netherlands),10.6,,,,,,,,,,,75.39
australia,13.3,111.44,13,74.12,1418275,4953,54.11,22299800,7692024,2.9,24.06,83.42
austria,9.3,121.1,,78.97,457637,4725,94.43,8375290,83879,99.8,25.12,81.09
azerbaijan,19.4,103.74,,62.33,45418,287,295.11,8997586,86600,103.9,104.44,70.62
bahamas,13.8,104.65,,54.99,12803,1632,86.53,,,,46.25,75.15
bahrain,15,60.73,,55.15,38291,681,136.69,1234571,765,1613.8,38.54,76.38
bangladesh,19.2,83.38,,29.56,287630,20,108.99,148600000,147570,1007,125.64,71.01
barbados,12.2,148.43,,55.76,5145,1103,75.26,,,,69.25,75.37
belarus,11.5,130.55,,64.98,59643,306,362.19,9480178,207595,45.7,118.51,71.08
belgium,11.9,131.86,,77.38,533153,4401,61.24,10839905,30528,355.1,28.25,80.53
belize,22.1,111.87,,57.79,1925,253,124.34,,,,79.24,69.76
benin,37.3,68.91,,38.17,10456,31,151.46,9211741,114763,80.3,141.07,59.2
bermuda (uk),11.9,,,,,,,,,,,
bhutan,20.7,73.27,,47.22,2627,69,151.69,,,,65.88,68.88
